"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.image","Answer.answer","Answer.note","Turkle.Username"
"206","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","37","2","Tue Jul 21 05:53:49 UTC 2020","Tue Jul 21 05:54:05 UTC 2020","16","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0219-f0242.jpg","zero","","aubreymoore"
"207","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","38","2","Tue Jul 21 05:54:05 UTC 2020","Tue Jul 21 05:54:17 UTC 2020","12","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0183-f0233.jpg","light","","aubreymoore"
"208","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","39","2","Tue Jul 21 05:54:18 UTC 2020","Tue Jul 21 05:54:31 UTC 2020","13","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0168-f0230.jpg","light","multiple trees","aubreymoore"
"209","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","40","2","Tue Jul 21 05:54:31 UTC 2020","Tue Jul 21 05:54:43 UTC 2020","11","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0022-f0083.jpg","zero","multiple trees","aubreymoore"
"210","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","41","2","Tue Jul 21 05:54:43 UTC 2020","Tue Jul 21 05:55:14 UTC 2020","31","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0040-f0165.jpg","light","","aubreymoore"
"211","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","42","2","Tue Jul 21 05:55:14 UTC 2020","Tue Jul 21 05:55:24 UTC 2020","9","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0105-f0199.jpg","medium","multiple trees","aubreymoore"
"212","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","43","2","Tue Jul 21 05:55:24 UTC 2020","Tue Jul 21 05:55:36 UTC 2020","11","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0160-f0228.jpg","medium","multiple trees","aubreymoore"
"213","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","44","2","Tue Jul 21 05:55:36 UTC 2020","Tue Jul 21 05:55:59 UTC 2020","22","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/high-t0259-f0262.jpg","medium","multiple trees","aubreymoore"
"214","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","45","2","Tue Jul 21 05:55:59 UTC 2020","Tue Jul 21 05:56:22 UTC 2020","23","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0278-f0267.jpg","medium","power pole in front","aubreymoore"
"215","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","46","2","Tue Jul 21 05:56:22 UTC 2020","Tue Jul 21 05:56:33 UTC 2020","10","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0108-f0199.jpg","medium","","aubreymoore"
"216","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","47","2","Tue Jul 21 05:56:33 UTC 2020","Tue Jul 21 05:56:50 UTC 2020","17","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0380-f0407.jpg","medium","multiple trees","aubreymoore"
"217","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","48","2","Tue Jul 21 05:56:50 UTC 2020","Tue Jul 21 05:56:58 UTC 2020","7","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0106-f0199.jpg","medium","multiple trees","aubreymoore"
"218","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","49","2","Tue Jul 21 05:56:58 UTC 2020","Tue Jul 21 05:57:06 UTC 2020","8","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0276-f0266.jpg","medium","","aubreymoore"
"219","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","50","2","Tue Jul 21 05:57:06 UTC 2020","Tue Jul 21 05:57:19 UTC 2020","12","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0275-f0266.jpg","zero","","aubreymoore"
"220","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","51","2","Tue Jul 21 05:57:19 UTC 2020","Tue Jul 21 05:57:26 UTC 2020","7","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0021-f0082.jpg","zero","multiple trees","aubreymoore"
"221","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","52","2","Tue Jul 21 05:57:26 UTC 2020","Tue Jul 21 05:57:39 UTC 2020","13","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0295-f0270.jpg","light","","aubreymoore"
"222","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","53","2","Tue Jul 21 05:57:39 UTC 2020","Tue Jul 21 05:57:58 UTC 2020","18","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0424-f0487.jpg","zero","multiple trees","aubreymoore"
"223","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","54","2","Tue Jul 21 05:57:58 UTC 2020","Tue Jul 21 05:58:06 UTC 2020","7","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0293-f0269.jpg","light","","aubreymoore"
"224","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","55","2","Tue Jul 21 05:58:06 UTC 2020","Tue Jul 21 05:58:15 UTC 2020","9","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0264-f0263.jpg","medium","multiple trees","aubreymoore"
"225","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","56","2","Tue Jul 21 05:58:15 UTC 2020","Tue Jul 21 05:58:28 UTC 2020","13","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0246-f0257.jpg","zero","","aubreymoore"
"226","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","57","2","Tue Jul 21 05:58:28 UTC 2020","Tue Jul 21 05:58:53 UTC 2020","24","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0222-f0243.jpg","light","multiple trees","aubreymoore"
"227","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","58","2","Tue Jul 21 05:58:53 UTC 2020","Tue Jul 21 05:59:01 UTC 2020","8","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0427-f0490.jpg","zero","multiple trees","aubreymoore"
"228","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","59","2","Tue Jul 21 05:59:01 UTC 2020","Tue Jul 21 05:59:29 UTC 2020","27","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0188-f0233.jpg","medium","multiple trees","aubreymoore"
"229","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","60","2","Tue Jul 21 05:59:29 UTC 2020","Tue Jul 21 05:59:39 UTC 2020","9","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0372-f0364.jpg","medium","","aubreymoore"
"230","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","61","2","Tue Jul 21 05:59:39 UTC 2020","Tue Jul 21 06:00:03 UTC 2020","23","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0363-f0317.jpg","zero","","aubreymoore"
"231","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","62","2","Tue Jul 21 06:00:03 UTC 2020","Tue Jul 21 06:00:20 UTC 2020","16","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/high-t0124-f0203.jpg","cannot determine","partial tree","aubreymoore"
"232","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","63","2","Tue Jul 21 06:00:20 UTC 2020","Tue Jul 21 06:00:59 UTC 2020","39","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/high-t0266-f0264.jpg","","multiple trees; power pole in front","aubreymoore"
"233","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","64","2","Tue Jul 21 06:00:59 UTC 2020","Tue Jul 21 06:01:07 UTC 2020","8","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0237-f0254.jpg","light","","aubreymoore"
"234","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","65","2","Tue Jul 21 06:01:07 UTC 2020","Tue Jul 21 06:01:15 UTC 2020","7","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0366-f0320.jpg","cannot determine","partial tree","aubreymoore"
"235","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","66","2","Tue Jul 21 06:01:15 UTC 2020","Tue Jul 21 06:01:38 UTC 2020","22","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0205-f0237.jpg","light","multiple trees","aubreymoore"
"236","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","67","2","Tue Jul 21 06:01:38 UTC 2020","Tue Jul 21 06:01:45 UTC 2020","7","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/medium-t0173-f0231.jpg","light","","aubreymoore"
"237","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","68","2","Tue Jul 21 06:01:45 UTC 2020","Tue Jul 21 06:01:53 UTC 2020","7","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/high-t0101-f0198.jpg","medium","multiple trees","aubreymoore"
"238","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","69","2","Tue Jul 21 06:01:53 UTC 2020","Tue Jul 21 06:02:02 UTC 2020","8","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/light-t0241-f0256.jpg","light","","aubreymoore"
"239","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","70","2","Tue Jul 21 06:02:02 UTC 2020","Tue Jul 21 06:02:12 UTC 2020","10","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/non_recoverable-t0405-f0431.jpg","cannot determine","partial tree","aubreymoore"
"240","2","roadside","Tue Jul 21 05:52:51 UTC 2020","1","86400","71","2","Tue Jul 21 06:02:12 UTC 2020","Tue Jul 21 06:02:26 UTC 2020","13","https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job28/zero-t0028-f0149.jpg","zero","multiple trees","aubreymoore"
